type_of_images,algorithm,numFeatures,width,height,distance,run_num,run_time,temperature,rvecs[0],rvecs[1],rvecs[2],tvecs[0],tvecs[1],tvecs[2]
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,1,44.81699991226196,44,-37.780825871918836,2.5698327172696098,2.2256574034108927,-1.4596032291320795,1.4473722079899656,49.322087932328891
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,1,45.04800009727478,48,-38.905493015098095,2.5657388285559595,2.303126748014428,-1.4764669651524718,1.4134655259254885,49.324734910755978
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,1,45.27500009536743,56,-37.787846789758319,3.0207459747960326,2.5121060882572719,-1.4849693904300532,1.4485529903508907,49.33220331699706
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,1,45.50399994850159,62,-38.263193027181849,3.211641689653292,2.515221230082243,-1.5017798202356074,1.4495234738429585,49.379054864885703
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,1,45.676000118255615,68,None,None,None,None,None,None
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,1,45.9520001411438,74,0.0,0.0,0.0,0.0,0.0,0.0
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,1,46.12400007247925,80,None,None,None,None,None,None
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,1,46.29900002479553,86,None,None,None,None,None,None
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,1,46.48200011253357,92,None,None,None,None,None,None
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,2,44.45899987220764,44,-38.195959440089048,6.2812931657604798,3.2579870697996887,-1.4659155312685357,1.4519035146961596,50.406775262676796
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,2,44.68899989128113,48,-38.087137638119145,4.2033811164922117,2.8113952362749051,-1.5345006339527374,1.4203848026880816,49.345166025818884
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,2,44.918999910354614,56,-37.708863981167681,5.0497285682045838,3.2222045428269994,-1.5596729377103473,1.4088644659092568,49.570318641438789
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,2,45.16199994087219,62,-35.042341544688369,2.726384196922564,1.7531075744753359,-1.5052402745899116,1.4593794926711623,50.645994003070193
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,2,45.36999988555908,68,-37.069409344883447,1.4981850071825791,1.6513191448647571,-1.4798260432334349,1.4659457617037996,49.983114499066744
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,2,45.55299997329712,74,None,None,None,None,None,None
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,2,45.75200009346008,80,None,None,None,None,None,None
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,2,45.924999952316284,86,None,None,None,None,None,None
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,2,46.10199999809265,92,None,None,None,None,None,None
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,3,43.2260000705719,44,-35.181664776908804,2.0960298808114435,2.857448509822214,-1.473049991755873,1.5016782388405439,50.004908265081028
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,3,43.46399998664856,48,-37.340079261107604,4.8528922973478839,2.9956396476586415,-1.4879687811763769,1.4565224601163138,50.481993532387406
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,3,43.705000162124634,56,-38.063179960533375,1.9848825794200984,1.8526494904864217,-1.5030956146440575,1.4448293472194371,49.308833991833765
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,3,43.96900010108948,62,-37.782804851595266,5.1277151941500945,2.8757780831458093,-1.4864967365115791,1.4213595061996072,50.230307332426143
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,3,44.200000047683716,68,-39.295646725331579,1.8491390107586367,2.2102066708232071,-1.4891241803460762,1.4004537641947219,49.648993870149916
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,3,44.49300003051758,74,81.266404350994478,32.886204994758245,-62.461661214384385,-2.1709918139627642,1.1831397907749526,9.7085983565101817
